agent_name,mission,mass,K_fitness_min,K_fitness_max,F_interactive_min,F_interactive_max,rwd_pos,rwd_action_mean
agent_exo_no_assist,42,60,0,0,-0.474522928,0.41102121994950236,[-408.26562389],[550.47454629]
agent_exo_ratio_3,42,60,20,200,-6.021357669,1.0567340662257263,[-363.52139301],[472.86747441]
agent_exo_ratio_6,42,60,20,200,-8.493335625,14.310708041593047,[-362.34889721],[338.37287925]
agent_no_exo,42,60,0,0,0,0,[-323.92250638],[475.7599596]
agent_exo_no_assist,42,70,0,0,-0.841311037,0.6909965330524648,[-326.11874244],[601.04390722]
agent_exo_ratio_3,42,70,20,200,-7.092533455,1.8164817821054922,[-439.92157196],[591.44255527]
agent_exo_ratio_6,42,70,20,200,-7.074936054,10.712998838456537,[-426.78897396],[225.68748423]
agent_no_exo,42,70,0,0,0,0,[-419.71969559],[283.78890719]
agent_exo_no_assist,42,80,0,0,-0.423180566,0.31018164502202816,[-377.99646286],[688.65026616]
agent_exo_ratio_3,42,80,20,200,-6.775029872,1.0835866567117662,[-473.49653898],[438.48899463]
agent_exo_ratio_6,42,80,20,200,-6.806874826,8.444185164163999,[-470.17396773],[265.89040653]
agent_no_exo,42,80,0,0,0,0,[-475.554705],[356.29506214]
