agent_name,mission,mass,K_fitness_min,K_fitness_max,F_interactive_min,F_interactive_max,rwd_pos,rwd_action_mean
agent_no_exo,11,60,0.0,0.0,0.0,0.0,[-1659.78693467],[1396.54537191]
agent_no_exo,11,70,0.0,0.0,0.0,0.0,[-1016.50788055],[1568.69998767]
agent_no_exo,11,80,0.0,0.0,0.0,0.0,[-1216.67521062],[1760.62011096]
agent_exo_no_assist,11,60,0.0,0.0,-0.30423086400686855,0.2702174992461179,[-1498.54620703],[1495.9464088]
agent_exo_no_assist,11,70,0.0,0.0,-0.24864425995306497,0.22502569788002957,[-976.22537237],[1763.5104936]
agent_exo_no_assist,11,80,0.0,0.0,-0.24861917177087134,0.2358534161439683,[-1002.70033955],[1762.63513692]
agent_exo_ratio_3,11,60,20.0,200.0,-6.147364346606657,-2.384319081941613,[-1134.37582434],[1456.29539411]
agent_exo_ratio_3,11,70,20.0,200.0,-6.1494651100028594,-2.4084820994411973,[-1036.23971315],[1692.51471139]
agent_exo_ratio_3,11,80,20.0,200.0,-6.3798075106064545,-2.667717431965744,[-1060.1457568],[1523.22899049]
agent_exo_ratio_6,11,60,20.0,200.0,-6.351242634878157,-1.6756846647318684,[-1090.33604707],[924.888154]
agent_exo_ratio_6,11,70,20.0,200.0,-6.232960249749411,-2.071224276864459,[-1071.41993604],[1573.85964855]
agent_exo_ratio_6,11,80,20.0,200.0,-7.299491190423711,-2.8856827428899297,[-998.1734444],[1210.92293532]
