agent_name,mission,mass,K_fitness_min,K_fitness_max,F_interactive_min,F_interactive_max,rwd_pos,rwd_action_mean
agent_no_exo,1,60,0.0,0.0,0.0,0.0,[-86.25252215],[87.71353426]
agent_no_exo,1,70,0.0,0.0,0.0,0.0,[-98.80938177],[165.16401291]
agent_no_exo,1,80,0.0,0.0,0.0,0.0,[-100.60380832],[143.82237362]
agent_no_exo,2,60,0.0,0.0,0.0,0.0,[-238.09744738],[123.02065186]
agent_no_exo,2,70,0.0,0.0,0.0,0.0,[-205.47040665],[112.84659322]
agent_no_exo,2,80,0.0,0.0,0.0,0.0,[-267.87658211],[237.10184927]
agent_no_exo,3,60,0.0,0.0,0.0,0.0,[-134.04098246],[219.1505872]
agent_no_exo,3,70,0.0,0.0,0.0,0.0,[-141.25645268],[233.40064593]
agent_no_exo,3,80,0.0,0.0,0.0,0.0,[-130.1645425],[221.71169277]
agent_no_exo,5,60,0.0,0.0,0.0,0.0,[-227.97135751],[401.09252093]
agent_no_exo,5,70,0.0,0.0,0.0,0.0,[-168.45633213],[231.49899155]
agent_no_exo,5,80,0.0,0.0,0.0,0.0,[-172.56143532],[258.55189951]
agent_no_exo,6,60,0.0,0.0,0.0,0.0,[-227.06146362],[284.77280259]
agent_no_exo,6,70,0.0,0.0,0.0,0.0,[-236.86257284],[163.69736914]
agent_no_exo,6,80,0.0,0.0,0.0,0.0,[-249.63655182],[150.32886758]
agent_no_exo,7,60,0.0,0.0,0.0,0.0,[-176.0515208],[396.69597399]
agent_no_exo,7,70,0.0,0.0,0.0,0.0,[-242.46954476],[419.41007948]
agent_no_exo,7,80,0.0,0.0,0.0,0.0,[-242.50538529],[451.58457675]
agent_no_exo,9,60,0.0,0.0,0.0,0.0,[-101.70632227],[166.28516023]
agent_no_exo,9,70,0.0,0.0,0.0,0.0,[-144.71519434],[109.75438965]
agent_no_exo,9,80,0.0,0.0,0.0,0.0,[-119.3588501],[236.40168356]
agent_no_exo,10,60,0.0,0.0,0.0,0.0,[-249.20818776],[562.70901968]
agent_no_exo,10,70,0.0,0.0,0.0,0.0,[-218.23428207],[464.86446694]
agent_no_exo,10,80,0.0,0.0,0.0,0.0,[-235.61459485],[429.84632893]
agent_no_exo,11,60,0.0,0.0,0.0,0.0,[-1469.33567989],[715.55017785]
agent_no_exo,11,70,0.0,0.0,0.0,0.0,[-1440.39371862],[348.86880421]
agent_no_exo,11,80,0.0,0.0,0.0,0.0,[-2256.56088839],[759.36395811]
agent_exo_no_assist,1,60,0.0,0.0,-0.1720960822098578,0.15933169729241262,[-88.34208868],[423.29781431]
agent_exo_no_assist,1,70,0.0,0.0,-0.2443449672148323,0.20262819573432234,[-90.18610321],[252.5074413]
agent_exo_no_assist,1,80,0.0,0.0,-0.19716328373596187,0.16897009989503448,[-97.86434636],[274.60307072]
agent_exo_no_assist,2,60,0.0,0.0,-0.18736651060123974,0.161056954737959,[-206.62880966],[384.33452315]
agent_exo_no_assist,2,70,0.0,0.0,-0.26997355038287596,0.3076698053984096,[-238.67662269],[448.79563643]
agent_exo_no_assist,2,80,0.0,0.0,-0.2421252637932829,0.26019305936259574,[-232.47330238],[351.7780707]
agent_exo_no_assist,3,60,0.0,0.0,-0.34578372921132977,0.32918465059589713,[-133.6694077],[338.85355392]
agent_exo_no_assist,3,70,0.0,0.0,-0.3280713724032374,0.31070389523926323,[-129.98511423],[461.45413949]
agent_exo_no_assist,3,80,0.0,0.0,-0.4215035757661108,0.2664151353172462,[-132.09247899],[456.57514822]
agent_exo_no_assist,5,60,0.0,0.0,-0.2278988689365294,0.20607910504788962,[-213.92244499],[453.81060874]
agent_exo_no_assist,5,70,0.0,0.0,-0.20565602561910676,0.2216019760869316,[-214.92221943],[506.78525336]
agent_exo_no_assist,5,80,0.0,0.0,-0.1238006375165388,0.20452520138173821,[-147.62215656],[431.46748058]
agent_exo_no_assist,6,60,0.0,0.0,-0.16313010582029164,0.18494246913851764,[-341.80409373],[496.24909051]
agent_exo_no_assist,6,70,0.0,0.0,-0.25866120191828496,0.1656161452983412,[-219.6195193],[452.58044204]
agent_exo_no_assist,6,80,0.0,0.0,-0.2399019342869745,0.21274138571036266,[-267.21798595],[526.32796521]
agent_exo_no_assist,7,60,0.0,0.0,-0.28585912231020716,0.22012635671059574,[-187.62684703],[547.49331494]
agent_exo_no_assist,7,70,0.0,0.0,-0.36660237567861625,0.26847681443076526,[-162.50417912],[516.80477248]
agent_exo_no_assist,7,80,0.0,0.0,-0.3028335159991521,0.20787137269168005,[-164.73102167],[523.7244956]
agent_exo_no_assist,9,60,0.0,0.0,-0.2550551135175287,0.23124584814386365,[-95.45204843],[324.41593899]
agent_exo_no_assist,9,70,0.0,0.0,-0.2941970367559939,0.28222935547873323,[-123.82214659],[312.89779266]
agent_exo_no_assist,9,80,0.0,0.0,-0.30082864053820024,0.30457285173740484,[-119.34316297],[354.31213044]
agent_exo_no_assist,10,60,0.0,0.0,-0.20470038022690837,0.17809218684084166,[-228.03492036],[599.91058203]
agent_exo_no_assist,10,70,0.0,0.0,-0.14577529041621365,0.1577766892782955,[-247.84265274],[513.16201018]
agent_exo_no_assist,10,80,0.0,0.0,-0.22063672570899398,0.18658362587490113,[-264.76808803],[659.16998769]
