agent_name,mission,mass,rwd_pos
agent_no_exo,1,60,[-6.63066946]
agent_no_exo,2,60,[-9.46895877]
agent_no_exo,3,60,[-11.5622372]
agent_no_exo,5,60,[-5.44933917]
agent_no_exo,6,60,[-7.16428662]
agent_no_exo,7,60,[-6.82816568]
agent_no_exo,9,60,[-8.53454042]
agent_no_exo,10,60,[-8.78247473]
agent_no_exo,11,60,[-12.10559138]
agent_no_exo,12,60,[-2.91594532]
agent_no_exo,13,60,[-7.25583822]
agent_no_exo,14,60,[-9.46676366]
agent_no_exo,15,60,[-10.40185524]
agent_no_exo,16,60,[-17.21081987]
agent_no_exo,17,60,[-12.95714274]
agent_no_exo,18,60,[-18.62230319]
agent_no_exo,19,60,[-11.2080594]
agent_no_exo,20,60,[-12.53068454]
agent_no_exo,21,60,[-8.57880429]
agent_no_exo,22,60,[-19.80704999]
agent_no_exo,23,60,[-13.58140863]
agent_no_exo,24,60,[-11.1114701]
agent_no_exo,25,60,[-2.79432694]
agent_no_exo,26,60,[-12.90962825]
agent_no_exo,27,60,[-9.13418481]
agent_no_exo,28,60,[-13.85659182]
agent_no_exo,29,60,[-13.151231]
agent_no_exo,30,60,[-10.54132997]
agent_no_exo,31,60,[-16.73895478]
agent_no_exo,32,60,[-16.4818435]
agent_no_exo,33,60,[-6.25619]
agent_no_exo,34,60,[-10.41541908]
agent_no_exo,35,60,[-7.6463429]
agent_no_exo,36,60,[-10.93487098]
agent_no_exo,37,60,[-12.1973114]
agent_no_exo,38,60,[-9.86861557]
agent_no_exo,39,60,[-15.55590301]
agent_no_exo,40,60,[-12.58236441]
agent_no_exo,41,60,[-8.95688749]
agent_no_exo,42,60,[-30.64275995]
